Year	Day	Time	OutHum	WindSpeed	Rain	SolarRad	TempOut	Consumption
2015	225	0	88	0	0	0	23	1395.99245410519
2015	225	0.5	88	0	0	0	22.7777777777778	1451.37686271089
2015	225	1	89	0	0	0	22.8888888888889	1444.89664835728
2015	225	1.5	87	1	0	0	23.1666666666667	1414.52006635776
2015	225	2	92	1	0	0	22.1111111111111	1398.21537202574
2015	225	2.5	95	0	0	0	21.5555555555556	1415.98882664615
2015	225	3	95	0	0	0	21.4444444444444	1415.99871539013
2015	225	3.5	97	0	0	0	20.7222222222222	1373.6142904676
2015	225	4	98	0	0	0	20.6111111111111	1444.89664835728
2015	225	4.5	99	0	0	0	20.5	1786.44251089392
2015	225	5	99	0	0	0	20.4444444444444	2376.29925706759
2015	225	5.5	99	0	0	0	20.2222222222222	3143.98813034072
2015	225	6	100	0	0	1	20.1111111111111	4003.47517490994
2015	225	6.5	99	0	0	14	20.2777777777778	4836.66918279056
2015	225	7	98	0	0	39	20.1666666666667	5412.80513653843
2015	225	7.5	96	0	0	86	21.1666666666667	5577.00826231733
2015	225	8	95	0	0	159	21.7777777777778	5590.6385701824
2015	225	8.5	91	0	0	237	22.7777777777778	5706.69025678328
2015	225	9	87	0	0	321	23.6666666666667	5728.45948125648
2015	225	9.5	85	0	0	395	24.3888888888889	5464.88601278424
2015	225	10	81	0	0	442	25.3333333333333	5197.18209824511
2015	225	10.5	79	0	0	435	25.6111111111111	5208.18964792389
2015	225	11	76	1	0	448	26.3888888888889	5314.99674803424
2015	225	11.5	74	1	0	543	27.4444444444444	5287.79612861033
2015	225	12	71	1	0	553	27.8333333333333	5174.95291903961
2015	225	12.5	68	1	0	531	28.7777777777778	5089.07925387106
2015	225	13	69	1	0	558	28.7222222222222	5121.60288894642
2015	225	13.5	67	1	0	446	28.5	5316.6876533211
2015	225	14	66	2	0	600	29.6111111111111	5550.6260476125
2015	225	14.5	64	3	0	515	29.5	5718.65280845559
2015	225	15	64	5	0	472	29.2777777777778	5959.64294499364
2015	225	15.5	68	7	0	246	28.1111111111111	6396.74822712914
2015	225	16	72	10	0	210	26.7777777777778	6846.58719529296
2015	225	16.5	72	9	0	173	26.4444444444444	7060.80613275472
2015	225	17	74	11	0	147	25.8333333333333	6837.69552361076
2015	225	17.5	75	8	0	94	25.5555555555556	6100.55543072587
2015	225	18	76	8	0	41	25.1111111111111	5226.08003121225
2015	225	18.5	77	8	0	4	24.7222222222222	4603.25967577989
2015	225	19	80	9	0	0	24.2222222222222	4216.87529528271
2015	225	19.5	80	8	0	0	24.1111111111111	3945.59040873166
2015	225	20	83	9	0	0	23.6666666666667	3647.80830762199
2015	225	20.5	83	9	0	0	23.5	3210.9302806682
2015	225	21	82	8	0	0	23.6666666666667	2658.60983297739
2015	225	21.5	81	7	0	0	23.7777777777778	2078.81577822107
2015	225	22	79	5	0	0	24	1680.52594793554
2015	225	22.5	79	2	0	0	24.2777777777778	1614.86375851692
2015	225	23	87	0	0	0	22.7222222222222	1680.52594793554
2015	225	23.5	88	0	0	0	22.2222222222222	1656.86436557222
2015	226	0	88	0	0	0	22.2777777777778	1598.27798487521
2015	226	0.5	89	0	0	0	22	1595.47990132681
2015	226	1	91	0	0	0	21.7777777777778	1609.39257447796
2015	226	1.5	96	0	0	0	21.1666666666667	1589.78500198141
2015	226	2	98	0	0.01	0	21	1571.60296982861
2015	226	2.5	100	1	0.01	0	20.3888888888889	1591.70110054807
2015	226	3	100	1	0	0	20.5	1609.39257447796
2015	226	3.5	100	0	0	0	20.2222222222222	1594.17744146793
2015	226	4	100	0	0	0	20.2222222222222	1633.844671604
2015	226	4.5	100	1	0	0	20.1111111111111	1853.82983026896
2015	226	5	100	0	0	0	20.2777777777778	2411.86594379638
2015	226	5.5	100	0	0	0	20.3333333333333	3361.87505953531
2015	226	6	100	0	0	0	20.4444444444444	4310.23784794579
2015	226	6.5	100	0	0	10	20.3888888888889	4876.09589641907
2015	226	7	100	0	0	44	20.6111111111111	5177.17583696016
2015	226	7.5	98	0	0	97	21.0555555555556	5397.30912035713
2015	226	8	96	0	0	129	21.5	5486.16142791657
2015	226	8.5	94	0	0	202	22.7777777777778	5372.96526870507
2015	226	9	89	0	0	363	23.2222222222222	5139.38623231082
2015	226	9.5	88	0	0	416	24	4924.39748950913
2015	226	10	86	1	0	536	24.7777777777778	4943.76945530245
2015	226	10.5	81	1	0	494	25.5	5289.7798673856
2015	226	11	80	2	0	425	25.5	5483.93850999601
2015	226	11.5	78	1	0	718	26.2777777777778	5126.25064546573
2015	226	12	76	1	0	590	26.7222222222222	4701.47140196253
2015	226	12.5	77	0	0	267	26.4444444444444	4777.56344155112
2015	226	13	75	0	0	302	26.7777777777778	5370.56969604798
2015	226	13.5	73	1	0	417	27.7222222222222	6263.04091723142
2015	226	14	73	3	0	560	28	6855.47886697516
2015	226	14.5	67	4	0	662	29.0555555555556	6726.15809296236
2015	226	15	67	6	0	497	28.8888888888889	6546.49327601875
2015	226	15.5	68	6	0	391	27.8333333333333	6902.64514674734
2015	226	16	72	8	0	273	26.9444444444444	6946.61850171769
2015	226	16.5	74	10	0	191	26.0555555555556	5894.18557563619
2015	226	17	76	10	0	146	25.2222222222222	4650.34428978989
2015	226	17.5	77	10	0	53	24.5555555555556	4203.96727082407
2015	226	18	77	8	0	22	24.5	4190.20028023611
2015	226	18.5	77	9	0	3	24.2222222222222	4053.59923974539
2015	226	19	79	8	0	0	23.8888888888889	3830.08757710707
2015	226	19.5	80	9	0	0	23.5	3650.00169020577
2015	226	20	79	7	0	0	23.6111111111111	3429.96235140813
2015	226	20.5	78	5	0	0	23.9444444444444	3064.02421846164
2015	226	21	77	3	0	0	24.0555555555556	2569.69311615541
2015	226	21.5	80	1	0	0	23.9444444444444	2025.34670680156
2015	226	22	82	0	0	0	23.1111111111111	1629.3988357629
2015	226	22.5	81	2	0	0	23.5	1531.89611651177
2015	226	23	83	2	0	0	23.2777777777778	1569.38005190806
2015	226	23.5	86	0	0	0	22.7222222222222	1554.55138619175
2015	227	0	89	0	0	0	21.7222222222222	1518.25293973542
2015	227	0.5	92	0	0	0	21.2777777777778	1522.52257955409
2015	227	1	92	0	0	0	21.1666666666667	1536.03628309982
2015	227	1.5	92	0	0	0	21.2222222222222	1521.28247623836
2015	227	2	92	0	0	0	21.2777777777778	1509.36126805322
2015	227	2.5	92	0	0	0	21.2777777777778	1529.3737631718
2015	227	3	95	0	0	0	20.7777777777778	1533.81336517927
2015	227	3.5	98	1	0.01	0	20.3888888888889	1496.85939505343
2015	227	4	100	1	0.14	0	19.1666666666667	1556.04254438476
2015	227	4.5	100	1	0	0	19	1832.5035657063
2015	227	5	100	0	0	0	19.1111111111111	2218.47208470856
2015	227	5.5	100	0	0	0	19.3888888888889	2570.86011499968
2015	227	6	100	0	0	0	19.2777777777778	2834.22034870082
2015	227	6.5	100	0	0	15	19.2222222222222	3003.51007565358
2015	227	7	100	0	0	82	19.8888888888889	3187.66429806821
2015	227	7.5	100	0	0	138	20.4444444444444	3520.48818052293
2015	227	8	99	0	0	271	21.8888888888889	4121.28982469907
2015	227	8.5	88	0	0	466	23.4444444444444	4973.38532208919
2015	227	9	88	1	0	488	24.5	5530.61978632756
2015	227	9.5	86	2	0	636	24.7222222222222	5377.20343807951
2015	227	10	81	1	0	682	25.5	5148.27790399301
2015	227	10.5	78	1	0	587	26.4444444444444	5450.01685428863
2015	227	11	78	2	0	530	26.2222222222222	5721.79072749483
2015	227	11.5	80	1	0	354	26.1111111111111	5383.19725075718
2015	227	12	75	1	0	662	27.3888888888889	4941.5465373819
2015	227	12.5	75	1	0	497	28.5555555555556	4985.25462284739
2015	227	13	69	1	0	850	29	5339.44884516029
2015	227	13.5	70	1	0	484	28.6111111111111	5691.32440906248
2015	227	14	67	1	0	410	29.6111111111111	5939.6366837087
2015	227	14.5	70	1	0	255	27.8333333333333	6058.91785350278
2015	227	15	70	3	0	295	28.1111111111111	6115.24719943212
2015	227	15.5	67	7	0	622	28.6666666666667	6199.86622169951
2015	227	16	68	5	0	301	28.1666666666667	6413.11820078577
2015	227	16.5	72	6	0	143	27.1111111111111	6740.32883261624
2015	227	17	74	8	0	104	26.1111111111111	6697.65169461613
2015	227	17.5	77	7	0	48	25.3888888888889	5922.1613269397
2015	227	18	79	8	0	60	24.8888888888889	5003.78823915729
2015	227	18.5	80	9	0	3	24.3888888888889	4566.70054757836
2015	227	19	81	8	0	0	24	4419.16082605273
2015	227	19.5	82	8	0	0	23.8888888888889	4219.92750737153
2015	227	20	82	9	0	0	23.6666666666667	3845.64800255091
2015	227	20.5	82	9	0	0	23.6666666666667	3265.7679456861
2015	227	21	83	8	0	0	23.5	2603.03688496365
2015	227	21.5	82	7	0	0	23.5555555555556	2015.81836661611
2015	227	22	81	6	0	0	23.6111111111111	1651.6280149684
2015	227	22.5	82	4	0	0	23.5	1587.77889468342
2015	227	23	82	4	0	0	23.4444444444444	1631.62175368345
2015	227	23.5	88	1	0	0	22.5	1588.40396183189
2015	228	0	91	1	0	0	21.8888888888889	1524.92169349707
2015	228	0.5	92	0	0	0	21.5	1536.01581225252
2015	228	1	93	0	0	0	21.2222222222222	1567.15713398751
2015	228	1.5	93	0	0	0	21.1111111111111	1553.77240225424
2015	228	2	94	0	0	0	20.9444444444444	1540.48211894092
2015	228	2.5	94	0	0	0	20.9444444444444	1570.42301381544
2015	228	3	99	1	0	0	20.6666666666667	1571.60296982861
2015	228	3.5	100	2	0.04	0	19.7777777777778	1504.68091515355
2015	228	4	100	0	0	0	19.8333333333333	1576.04880566971
2015	228	4.5	100	1	0	0	20	1964.9545480928
2015	228	5	100	0	0	0	19.7222222222222	2496.33682477727
2015	228	5.5	100	0	0	0	19.6666666666667	2967.13805672451
2015	228	6	100	0	0	0	19.5555555555556	3416.62484388483
2015	228	6.5	100	0	0	6	19.5555555555556	3957.06107264825
2015	228	7	100	0	0	35	19.5555555555556	4750.37559621463
2015	228	7.5	100	0	0	80	20.1111111111111	5800.37084934429
2015	228	8	100	1	0	218	21.3333333333333	6428.67862622962
2015	228	8.5	96	1	0	313	22.2222222222222	6111.5901821013
2015	228	9	92	0	0	267	23.1111111111111	5626.20525691119
2015	228	9.5	89	1	0	461	23.8888888888889	5725.6376715454
2015	228	10	81	1	0	701	25.5	5766.24908590582
2015	228	10.5	80	1	0	732	25.5555555555556	5054.57704680129
2015	228	11	76	1	0	698	26.0555555555556	4094.61480965248
2015	228	11.5	75	1	0	456	26.6111111111111	3586.6851215315
2015	228	12	73	1	0	520	27.1111111111111	3818.97298750432
2015	228	12.5	66	1	0	914	29.5	4814.03883458045
2015	228	13	65	2	0	772	29.5	5944.0825195498
2015	228	13.5	63	1	0	854	30.3888888888889	6583.03551342285
